# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+02
# lRef        : 1.000000e+00
# Aref        : 3.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0             	3.198553e-04	1.383130e-04	1.815423e-04	1.462011e-05	2.526820e-05	-1.064809e-05	1.795814e-05	-2.161466e-05	4.799249e-04	-5.517922e-10	4.799246e-04	-4.799252e-04
0             	3.198553e-04	1.383130e-04	1.815423e-04	1.462011e-05	2.526820e-05	-1.064809e-05	1.795814e-05	-2.161466e-05	4.799249e-04	-5.517922e-10	4.799246e-04	-4.799252e-04
0             	3.198553e-04	1.383130e-04	1.815423e-04	1.462011e-05	2.526820e-05	-1.064809e-05	1.795814e-05	-2.161466e-05	4.799249e-04	-5.517922e-10	4.799246e-04	-4.799252e-04
0.0025        	2.692860e-01	-1.317928e+00	1.587214e+00	1.040090e+00	1.621709e-01	8.779192e-01	-3.578742e-01	-1.452571e+00	3.794504e-01	-3.215343e-03	3.778427e-01	-3.810580e-01
0.0025        	2.692860e-01	-1.317928e+00	1.587214e+00	1.040090e+00	1.621709e-01	8.779192e-01	-3.578742e-01	-1.452571e+00	3.794504e-01	-3.215343e-03	3.778427e-01	-3.810580e-01
0.0025        	2.692860e-01	-1.317928e+00	1.587214e+00	1.040090e+00	1.621709e-01	8.779192e-01	-3.578742e-01	-1.452571e+00	3.794504e-01	-3.215343e-03	3.778427e-01	-3.810580e-01
0.005         	1.135908e-01	-6.021176e-01	7.157084e-01	4.839627e-01	1.707570e-01	3.132057e-01	-7.122434e-02	-6.589130e-01	1.572550e-01	-7.693315e-03	1.534084e-01	-1.611017e-01
0.005         	1.135908e-01	-6.021176e-01	7.157084e-01	4.839627e-01	1.707570e-01	3.132057e-01	-7.122434e-02	-6.589130e-01	1.572550e-01	-7.693315e-03	1.534084e-01	-1.611017e-01
0.005         	1.135908e-01	-6.021176e-01	7.157084e-01	4.839627e-01	1.707570e-01	3.132057e-01	-7.122434e-02	-6.589130e-01	1.572550e-01	-7.693315e-03	1.534084e-01	-1.611017e-01
0.0075        	8.258843e-02	-5.143002e-01	5.968887e-01	4.063219e-01	1.445945e-01	2.617274e-01	-5.856644e-02	-5.555944e-01	1.152870e-01	-6.559936e-03	1.120070e-01	-1.185670e-01
0.0075        	8.258843e-02	-5.143002e-01	5.968887e-01	4.063219e-01	1.445945e-01	2.617274e-01	-5.856644e-02	-5.555944e-01	1.152870e-01	-6.559936e-03	1.120070e-01	-1.185670e-01
0.01          	8.464944e-02	-5.582222e-01	6.428717e-01	4.384460e-01	1.383109e-01	3.001351e-01	-8.091209e-02	-6.005469e-01	1.183649e-01	-6.318381e-03	1.152057e-01	-1.215240e-01
0.01          	8.464944e-02	-5.582222e-01	6.428717e-01	4.384460e-01	1.383109e-01	3.001351e-01	-8.091209e-02	-6.005469e-01	1.183649e-01	-6.318381e-03	1.152057e-01	-1.215240e-01
0.0125        	8.476587e-02	-5.801651e-01	6.649310e-01	4.557750e-01	1.414022e-01	3.143728e-01	-8.648531e-02	-6.225481e-01	1.181733e-01	-6.374281e-03	1.149861e-01	-1.213604e-01
0.0125        	8.476587e-02	-5.801651e-01	6.649310e-01	4.557750e-01	1.414022e-01	3.143728e-01	-8.648531e-02	-6.225481e-01	1.181733e-01	-6.374281e-03	1.149861e-01	-1.213604e-01
0.015         	8.272896e-02	-5.834537e-01	6.661827e-01	4.584609e-01	1.443833e-01	3.140776e-01	-8.484711e-02	-6.248182e-01	1.150528e-01	-6.408992e-03	1.118483e-01	-1.182573e-01
0.015         	8.272896e-02	-5.834537e-01	6.661827e-01	4.584609e-01	1.443833e-01	3.140776e-01	-8.484711e-02	-6.248182e-01	1.150528e-01	-6.408992e-03	1.118483e-01	-1.182573e-01
0.0175        	8.155658e-02	-5.865341e-01	6.680906e-01	4.605310e-01	1.457036e-01	3.148274e-01	-8.456192e-02	-6.273123e-01	1.133354e-01	-6.399679e-03	1.101356e-01	-1.165353e-01
